basketId,Member_number,Date,itemId,itemDescription
1,1000,2014-06-24T00:00:00.000Z,106,pastry
1,1000,2014-06-24T00:00:00.000Z,129,salty snack
1,1000,2014-06-24T00:00:00.000Z,165,whole milk
2,1000,2015-03-15T00:00:00.000Z,131,sausage
2,1000,2015-03-15T00:00:00.000Z,133,semi-finished bread
2,1000,2015-03-15T00:00:00.000Z,165,whole milk
2,1000,2015-03-15T00:00:00.000Z,166,yogurt
3,1000,2015-05-27T00:00:00.000Z,109,pickled vegetables
3,1000,2015-05-27T00:00:00.000Z,139,soda
4,1000,2015-07-24T00:00:00.000Z,21,canned beer
4,1000,2015-07-24T00:00:00.000Z,93,misc. beverages
5,1000,2015-11-25T00:00:00.000Z,74,hygiene articles
5,1000,2015-11-25T00:00:00.000Z,131,sausage
6,1001,2014-02-07T00:00:00.000Z,123,rolls/buns
6,1001,2014-02-07T00:00:00.000Z,131,sausage
6,1001,2014-02-07T00:00:00.000Z,165,whole milk
7,1001,2014-12-12T00:00:00.000Z,139,soda
7,1001,2014-12-12T00:00:00.000Z,165,whole milk
8,1001,2015-01-20T00:00:00.000Z,57,frankfurter
8,1001,2015-01-20T00:00:00.000Z,139,soda
8,1001,2015-01-20T00:00:00.000Z,161,whipped/sour cream
9,1001,2015-04-14T00:00:00.000Z,9,beef
9,1001,2015-04-14T00:00:00.000Z,163,white bread
10,1001,2015-05-02T00:00:00.000Z,41,curd
10,1001,2015-05-02T00:00:00.000Z,57,frankfurter
11,1002,2014-02-09T00:00:00.000Z,64,frozen vegetables
11,1002,2014-02-09T00:00:00.000Z,103,other vegetables
12,1002,2014-04-26T00:00:00.000Z,16,butter
12,1002,2014-04-26T00:00:00.000Z,165,whole milk
13,1002,2015-04-26T00:00:00.000Z,151,sugar
13,1002,2015-04-26T00:00:00.000Z,157,tropical fruit
14,1002,2015-08-30T00:00:00.000Z,17,butter milk
14,1002,2015-08-30T00:00:00.000Z,146,specialty chocolate
15,1003,2014-01-19T00:00:00.000Z,44,dental care
15,1003,2014-01-19T00:00:00.000Z,62,frozen meals
16,1003,2014-02-27T00:00:00.000Z,123,rolls/buns
16,1003,2014-02-27T00:00:00.000Z,123,rolls/buns
17,1003,2014-10-15T00:00:00.000Z,46,detergent
17,1003,2014-10-15T00:00:00.000Z,124,root vegetables
18,1003,2015-02-10T00:00:00.000Z,123,rolls/buns
18,1003,2015-02-10T00:00:00.000Z,131,sausage
19,1004,2014-02-04T00:00:00.000Z,110,pip fruit
19,1004,2014-02-04T00:00:00.000Z,157,tropical fruit
19,1004,2014-02-04T00:00:00.000Z,165,whole milk
20,1004,2014-05-01T00:00:00.000Z,33,cling film/bags
20,1004,2014-05-01T00:00:00.000Z,47,dish cleaner
21,1004,2014-06-10T00:00:00.000Z,29,chocolate
21,1004,2014-06-10T00:00:00.000Z,120,red/blush wine
21,1004,2014-06-10T00:00:00.000Z,123,rolls/buns
22,1004,2014-07-01T00:00:00.000Z,21,canned beer
22,1004,2014-07-01T00:00:00.000Z,60,frozen fish
23,1004,2014-07-10T00:00:00.000Z,103,other vegetables
23,1004,2014-07-10T00:00:00.000Z,134,shopping bags
24,1004,2014-08-19T00:00:00.000Z,106,pastry
24,1004,2014-08-19T00:00:00.000Z,124,root vegetables
24,1004,2014-08-19T00:00:00.000Z,165,whole milk
25,1004,2014-10-13T00:00:00.000Z,29,chocolate
25,1004,2014-10-13T00:00:00.000Z,104,packaged fruit/vegetables
25,1004,2014-10-13T00:00:00.000Z,123,rolls/buns
25,1004,2014-10-13T00:00:00.000Z,165,whole milk
26,1004,2015-12-02T00:00:00.000Z,74,hygiene articles
26,1004,2015-12-02T00:00:00.000Z,103,other vegetables
27,1005,2014-01-09T00:00:00.000Z,123,rolls/buns
27,1005,2014-01-09T00:00:00.000Z,123,rolls/buns
28,1005,2014-01-23T00:00:00.000Z,89,margarine
28,1005,2014-01-23T00:00:00.000Z,161,whipped/sour cream
29,1006,2014-04-09T00:00:00.000Z,121,rice
29,1006,2014-04-09T00:00:00.000Z,165,whole milk
30,1006,2014-07-05T00:00:00.000Z,13,bottled water
30,1006,2014-07-05T00:00:00.000Z,123,rolls/buns
30,1006,2014-07-05T00:00:00.000Z,141,softener
31,1006,2014-07-11T00:00:00.000Z,134,shopping bags
31,1006,2014-07-11T00:00:00.000Z,135,skin care
32,1006,2015-06-14T00:00:00.000Z,12,bottled beer
32,1006,2015-06-14T00:00:00.000Z,28,chicken
32,1006,2015-06-14T00:00:00.000Z,29,chocolate
32,1006,2015-06-14T00:00:00.000Z,54,flour
32,1006,2015-06-14T00:00:00.000Z,57,frankfurter
32,1006,2015-06-14T00:00:00.000Z,57,frankfurter
32,1006,2015-06-14T00:00:00.000Z,123,rolls/buns
32,1006,2015-06-14T00:00:00.000Z,165,whole milk
33,1008,2015-07-21T00:00:00.000Z,50,domestic eggs
33,1008,2015-07-21T00:00:00.000Z,108,photo/film
33,1008,2015-07-21T00:00:00.000Z,124,root vegetables
33,1008,2015-07-21T00:00:00.000Z,139,soda
33,1008,2015-07-21T00:00:00.000Z,157,tropical fruit
33,1008,2015-07-21T00:00:00.000Z,164,white wine
33,1008,2015-07-21T00:00:00.000Z,166,yogurt
33,1008,2015-07-21T00:00:00.000Z,166,yogurt
34,1008,2015-10-03T00:00:00.000Z,45,dessert
34,1008,2015-10-03T00:00:00.000Z,69,hamburger meat
34,1008,2015-10-03T00:00:00.000Z,84,liquor (appetizer)
34,1008,2015-10-03T00:00:00.000Z,85,liver loaf
35,1009,2014-01-24T00:00:00.000Z,22,canned fish
35,1009,2014-01-24T00:00:00.000Z,34,cocoa drinks
36,1009,2015-05-14T00:00:00.000Z,157,tropical fruit
36,1009,2015-05-14T00:00:00.000Z,166,yogurt
37,1009,2015-09-23T00:00:00.000Z,78,ketchup
37,1009,2015-09-23T00:00:00.000Z,106,pastry
38,1009,2015-10-05T00:00:00.000Z,71,herbs
38,1009,2015-10-05T00:00:00.000Z,96,newspapers
38,1009,2015-10-05T00:00:00.000Z,166,yogurt
39,1010,2014-03-05T00:00:00.000Z,2,UHT-milk
39,1010,2014-03-05T00:00:00.000Z,35,coffee
39,1010,2014-03-05T00:00:00.000Z,110,pip fruit
40,1010,2014-04-10T00:00:00.000Z,79,kitchen towels
40,1010,2014-04-10T00:00:00.000Z,136,sliced cheese
41,1010,2014-08-23T00:00:00.000Z,13,bottled water
41,1010,2014-08-23T00:00:00.000Z,144,specialty bar
42,1010,2014-08-27T00:00:00.000Z,13,bottled water
42,1010,2014-08-27T00:00:00.000Z,57,frankfurter
43,1010,2015-07-31T00:00:00.000Z,19,candles
43,1010,2015-07-31T00:00:00.000Z,110,pip fruit
43,1010,2015-07-31T00:00:00.000Z,123,rolls/buns
44,1011,2014-02-15T00:00:00.000Z,13,bottled water
44,1011,2014-02-15T00:00:00.000Z,20,candy
44,1011,2014-02-15T00:00:00.000Z,31,citrus fruit
44,1011,2014-02-15T00:00:00.000Z,123,rolls/buns
45,1011,2014-06-02T00:00:00.000Z,42,curd cheese
45,1011,2014-06-02T00:00:00.000Z,106,pastry
46,1011,2015-12-09T00:00:00.000Z,19,candles
46,1011,2015-12-09T00:00:00.000Z,57,frankfurter
46,1011,2015-12-09T00:00:00.000Z,66,grapes
46,1011,2015-12-09T00:00:00.000Z,71,herbs
46,1011,2015-12-09T00:00:00.000Z,103,other vegetables
46,1011,2015-12-09T00:00:00.000Z,165,whole milk
46,1011,2015-12-09T00:00:00.000Z,166,yogurt
47,1012,2014-06-22T00:00:00.000Z,15,brown bread
47,1012,2014-06-22T00:00:00.000Z,64,frozen vegetables
48,1012,2015-03-27T00:00:00.000Z,116,processed cheese
48,1012,2015-03-27T00:00:00.000Z,165,whole milk
49,1012,2015-10-03T00:00:00.000Z,57,frankfurter
49,1012,2015-10-03T00:00:00.000Z,166,yogurt
50,1012,2015-11-19T00:00:00.000Z,100,onions
50,1012,2015-11-19T00:00:00.000Z,123,rolls/buns
50,1012,2015-11-19T00:00:00.000Z,124,root vegetables
50,1012,2015-11-19T00:00:00.000Z,134,shopping bags
50,1012,2015-11-19T00:00:00.000Z,157,tropical fruit
51,1013,2014-01-17T00:00:00.000Z,13,bottled water
51,1013,2014-01-17T00:00:00.000Z,70,hard cheese
51,1013,2014-01-17T00:00:00.000Z,95,napkins
52,1013,2014-02-20T00:00:00.000Z,20,candy
52,1013,2014-02-20T00:00:00.000Z,165,whole milk
53,1013,2014-03-26T00:00:00.000Z,64,frozen vegetables
53,1013,2014-03-26T00:00:00.000Z,157,tropical fruit
54,1013,2014-03-28T00:00:00.000Z,94,mustard
54,1013,2014-03-28T00:00:00.000Z,161,whipped/sour cream
55,1013,2014-07-15T00:00:00.000Z,94,mustard
55,1013,2014-07-15T00:00:00.000Z,103,other vegetables
56,1013,2014-11-12T00:00:00.000Z,90,mayonnaise
56,1013,2014-11-12T00:00:00.000Z,124,root vegetables
57,1013,2015-07-02T00:00:00.000Z,62,frozen meals
57,1013,2015-07-02T00:00:00.000Z,165,whole milk
58,1013,2015-10-02T00:00:00.000Z,50,domestic eggs
58,1013,2015-10-02T00:00:00.000Z,91,meat
58,1013,2015-10-02T00:00:00.000Z,122,roll products 
58,1013,2015-10-02T00:00:00.000Z,163,white bread
59,1014,2014-09-04T00:00:00.000Z,17,butter milk
59,1014,2014-09-04T00:00:00.000Z,69,hamburger meat
60,1014,2014-10-06T00:00:00.000Z,123,rolls/buns
60,1014,2014-10-06T00:00:00.000Z,165,whole milk
61,1014,2015-01-04T00:00:00.000Z,21,canned beer
61,1014,2015-01-04T00:00:00.000Z,38,cookware
62,1014,2015-10-03T00:00:00.000Z,12,bottled beer
62,1014,2015-10-03T00:00:00.000Z,131,sausage
62,1014,2015-10-03T00:00:00.000Z,165,whole milk
62,1014,2015-10-03T00:00:00.000Z,166,yogurt
63,1015,2014-06-28T00:00:00.000Z,29,chocolate
63,1015,2014-06-28T00:00:00.000Z,65,fruit/vegetable juice
63,1015,2014-06-28T00:00:00.000Z,123,rolls/buns
64,1015,2015-03-22T00:00:00.000Z,9,beef
64,1015,2015-03-22T00:00:00.000Z,129,salty snack
65,1015,2015-05-04T00:00:00.000Z,31,citrus fruit
65,1015,2015-05-04T00:00:00.000Z,165,whole milk
66,1016,2015-04-23T00:00:00.000Z,110,pip fruit
66,1016,2015-04-23T00:00:00.000Z,140,soft cheese
67,1016,2015-07-19T00:00:00.000Z,28,chicken
67,1016,2015-07-19T00:00:00.000Z,120,red/blush wine
68,1016,2015-09-30T00:00:00.000Z,57,frankfurter
68,1016,2015-09-30T00:00:00.000Z,90,mayonnaise
68,1016,2015-09-30T00:00:00.000Z,99,oil
68,1016,2015-09-30T00:00:00.000Z,110,pip fruit
68,1016,2015-09-30T00:00:00.000Z,123,rolls/buns
69,1016,2015-10-05T00:00:00.000Z,2,UHT-milk
69,1016,2015-10-05T00:00:00.000Z,12,bottled beer
70,1017,2014-02-21T00:00:00.000Z,103,other vegetables
70,1017,2014-02-21T00:00:00.000Z,124,root vegetables
71,1017,2014-06-19T00:00:00.000Z,9,beef
71,1017,2014-06-19T00:00:00.000Z,166,yogurt
72,1017,2014-10-14T00:00:00.000Z,15,brown bread
72,1017,2014-10-14T00:00:00.000Z,107,pet care
73,1017,2015-05-16T00:00:00.000Z,103,other vegetables
73,1017,2015-05-16T00:00:00.000Z,123,rolls/buns
74,1017,2015-09-30T00:00:00.000Z,45,dessert
74,1017,2015-09-30T00:00:00.000Z,134,shopping bags
74,1017,2015-09-30T00:00:00.000Z,139,soda
75,1018,2014-04-15T00:00:00.000Z,11,beverages
75,1018,2014-04-15T00:00:00.000Z,50,domestic eggs
76,1018,2014-05-27T00:00:00.000Z,10,berries
76,1018,2014-05-27T00:00:00.000Z,18,cake bar
77,1018,2014-10-01T00:00:00.000Z,41,curd
77,1018,2014-10-01T00:00:00.000Z,86,long life bakery product
78,1018,2015-05-23T00:00:00.000Z,17,butter milk
78,1018,2015-05-23T00:00:00.000Z,124,root vegetables
79,1019,2014-12-10T00:00:00.000Z,69,hamburger meat
79,1019,2014-12-10T00:00:00.000Z,120,red/blush wine
80,1020,2014-07-19T00:00:00.000Z,16,butter
80,1020,2014-07-19T00:00:00.000Z,62,frozen meals
80,1020,2014-07-19T00:00:00.000Z,96,newspapers
80,1020,2014-07-19T00:00:00.000Z,166,yogurt
81,1020,2014-08-12T00:00:00.000Z,21,canned beer
81,1020,2014-08-12T00:00:00.000Z,134,shopping bags
82,1020,2015-10-13T00:00:00.000Z,21,canned beer
82,1020,2015-10-13T00:00:00.000Z,60,frozen fish
82,1020,2015-10-13T00:00:00.000Z,123,rolls/buns
82,1020,2015-10-13T00:00:00.000Z,149,spices
83,1021,2014-05-30T00:00:00.000Z,16,butter
83,1021,2014-05-30T00:00:00.000Z,136,sliced cheese
84,1021,2015-10-22T00:00:00.000Z,41,curd
84,1021,2015-10-22T00:00:00.000Z,83,liquor
84,1021,2015-10-22T00:00:00.000Z,157,tropical fruit
84,1021,2015-10-22T00:00:00.000Z,166,yogurt
85,1021,2015-11-07T00:00:00.000Z,7,baking powder
85,1021,2015-11-07T00:00:00.000Z,123,rolls/buns
86,1022,2014-02-22T00:00:00.000Z,9,beef
86,1022,2014-02-22T00:00:00.000Z,95,napkins
87,1022,2014-03-25T00:00:00.000Z,161,whipped/sour cream
87,1022,2014-03-25T00:00:00.000Z,165,whole milk
88,1022,2014-06-07T00:00:00.000Z,65,fruit/vegetable juice
88,1022,2014-06-07T00:00:00.000Z,131,sausage
89,1023,2014-05-17T00:00:00.000Z,28,chicken
89,1023,2014-05-17T00:00:00.000Z,62,frozen meals
90,1023,2014-05-22T00:00:00.000Z,41,curd
90,1023,2014-05-22T00:00:00.000Z,88,male cosmetics
91,1023,2014-06-13T00:00:00.000Z,50,domestic eggs
91,1023,2014-06-13T00:00:00.000Z,139,soda
92,1023,2014-12-30T00:00:00.000Z,131,sausage
92,1023,2014-12-30T00:00:00.000Z,144,specialty bar
92,1023,2014-12-30T00:00:00.000Z,161,whipped/sour cream
93,1023,2015-01-06T00:00:00.000Z,104,packaged fruit/vegetables
93,1023,2015-01-06T00:00:00.000Z,123,rolls/buns
93,1023,2015-01-06T00:00:00.000Z,124,root vegetables
93,1023,2015-01-06T00:00:00.000Z,161,whipped/sour cream
94,1023,2015-06-28T00:00:00.000Z,10,berries
94,1023,2015-06-28T00:00:00.000Z,12,bottled beer
94,1023,2015-06-28T00:00:00.000Z,163,white bread
94,1023,2015-06-28T00:00:00.000Z,166,yogurt
95,1024,2015-08-10T00:00:00.000Z,53,fish
95,1024,2015-08-10T00:00:00.000Z,103,other vegetables
95,1024,2015-08-10T00:00:00.000Z,124,root vegetables
95,1024,2015-08-10T00:00:00.000Z,157,tropical fruit
96,1025,2014-02-06T00:00:00.000Z,35,coffee
96,1025,2014-02-06T00:00:00.000Z,134,shopping bags
97,1025,2014-03-10T00:00:00.000Z,40,cream cheese 
97,1025,2014-03-10T00:00:00.000Z,68,ham
98,1025,2015-08-19T00:00:00.000Z,2,UHT-milk
98,1025,2015-08-19T00:00:00.000Z,21,canned beer
99,1026,2014-03-08T00:00:00.000Z,45,dessert
99,1026,2014-03-08T00:00:00.000Z,109,pickled vegetables
99,1026,2014-03-08T00:00:00.000Z,123,rolls/buns
99,1026,2014-03-08T00:00:00.000Z,131,sausage
100,1026,2014-06-18T00:00:00.000Z,86,long life bakery product
100,1026,2014-06-18T00:00:00.000Z,124,root vegetables
101,1026,2014-08-23T00:00:00.000Z,31,citrus fruit
101,1026,2014-08-23T00:00:00.000Z,166,yogurt
102,1026,2015-03-15T00:00:00.000Z,16,butter
102,1026,2015-03-15T00:00:00.000Z,20,candy
102,1026,2015-03-15T00:00:00.000Z,44,dental care
102,1026,2015-03-15T00:00:00.000Z,65,fruit/vegetable juice
102,1026,2015-03-15T00:00:00.000Z,129,salty snack
103,1026,2015-05-28T00:00:00.000Z,21,canned beer
103,1026,2015-05-28T00:00:00.000Z,124,root vegetables
103,1026,2015-05-28T00:00:00.000Z,124,root vegetables
103,1026,2015-05-28T00:00:00.000Z,161,whipped/sour cream
104,1027,2014-05-14T00:00:00.000Z,128,salt
104,1027,2014-05-14T00:00:00.000Z,141,softener
104,1027,2014-05-14T00:00:00.000Z,165,whole milk
105,1027,2014-09-22T00:00:00.000Z,13,bottled water
105,1027,2014-09-22T00:00:00.000Z,123,rolls/buns
106,1027,2015-02-25T00:00:00.000Z,120,red/blush wine
106,1027,2015-02-25T00:00:00.000Z,123,rolls/buns
107,1027,2015-05-17T00:00:00.000Z,69,hamburger meat
107,1027,2015-05-17T00:00:00.000Z,112,pork
108,1028,2014-04-05T00:00:00.000Z,123,rolls/buns
108,1028,2014-04-05T00:00:00.000Z,151,sugar
109,1028,2014-04-24T00:00:00.000Z,7,baking powder
109,1028,2014-04-24T00:00:00.000Z,13,bottled water
109,1028,2014-04-24T00:00:00.000Z,100,onions
109,1028,2014-04-24T00:00:00.000Z,123,rolls/buns
110,1028,2014-11-10T00:00:00.000Z,16,butter
110,1028,2014-11-10T00:00:00.000Z,139,soda
111,1028,2015-06-02T00:00:00.000Z,21,canned beer
111,1028,2015-06-02T00:00:00.000Z,55,flower (seeds)
111,1028,2015-06-02T00:00:00.000Z,100,onions
112,1028,2015-07-11T00:00:00.000Z,124,root vegetables
112,1028,2015-07-11T00:00:00.000Z,146,specialty chocolate
113,1029,2015-03-14T00:00:00.000Z,45,dessert
113,1029,2015-03-14T00:00:00.000Z,68,ham
114,1031,2014-03-04T00:00:00.000Z,75,ice cream
114,1031,2014-03-04T00:00:00.000Z,113,pot plants
115,1031,2015-08-26T00:00:00.000Z,11,beverages
115,1031,2015-08-26T00:00:00.000Z,40,cream cheese 
116,1031,2015-10-15T00:00:00.000Z,10,berries
116,1031,2015-10-15T00:00:00.000Z,103,other vegetables
