1,,Instant food products,Instant food products,2014-01-01T00:00:00.000Z
2,,UHT-milk,UHT-milk,2014-01-02T00:00:00.000Z
3,,abrasive cleaner,abrasive cleaner,2014-01-21T00:00:00.000Z
4,,artif. sweetener,artif. sweetener,2014-02-10T00:00:00.000Z
5,,baby cosmetics,baby cosmetics,2014-01-09T00:00:00.000Z
6,,bags,bags,2014-03-20T00:00:00.000Z
7,,baking powder,baking powder,2014-01-05T00:00:00.000Z
8,,bathroom cleaner,bathroom cleaner,2014-06-10T00:00:00.000Z
9,,beef,beef,2014-01-02T00:00:00.000Z
10,,berries,berries,2014-01-01T00:00:00.000Z
11,,beverages,beverages,2014-01-06T00:00:00.000Z
12,,bottled beer,bottled beer,2014-01-01T00:00:00.000Z
13,,bottled water,bottled water,2014-01-01T00:00:00.000Z
14,,brandy,brandy,2014-02-10T00:00:00.000Z
15,,brown bread,brown bread,2014-01-01T00:00:00.000Z
16,,butter,butter,2014-01-01T00:00:00.000Z
17,,butter milk,butter milk,2014-01-07T00:00:00.000Z
18,,cake bar,cake bar,2014-01-18T00:00:00.000Z
19,,candles,candles,2014-01-01T00:00:00.000Z
20,,candy,candy,2014-01-02T00:00:00.000Z
21,,canned beer,canned beer,2014-01-02T00:00:00.000Z
22,,canned fish,canned fish,2014-01-19T00:00:00.000Z
23,,canned fruit,canned fruit,2014-01-16T00:00:00.000Z
24,,canned vegetables,canned vegetables,2014-01-23T00:00:00.000Z
25,,cat food,cat food,2014-01-04T00:00:00.000Z
26,,cereals,cereals,2014-01-18T00:00:00.000Z
27,,chewing gum,chewing gum,2014-01-02T00:00:00.000Z
28,,chicken,chicken,2014-01-09T00:00:00.000Z
29,,chocolate,chocolate,2014-01-01T00:00:00.000Z
30,,chocolate marshmallow,chocolate marshmallow,2014-01-04T00:00:00.000Z
31,,citrus fruit,citrus fruit,2014-01-01T00:00:00.000Z
32,,cleaner,cleaner,2014-01-01T00:00:00.000Z
33,,cling film/bags,cling film/bags,2014-01-04T00:00:00.000Z
34,,cocoa drinks,cocoa drinks,2014-01-24T00:00:00.000Z
35,,coffee,coffee,2014-01-01T00:00:00.000Z
36,,condensed milk,condensed milk,2014-01-12T00:00:00.000Z
37,,cooking chocolate,cooking chocolate,2014-04-29T00:00:00.000Z
38,,cookware,cookware,2014-02-22T00:00:00.000Z
39,,cream,cream,2014-04-20T00:00:00.000Z
40,,cream cheese ,cream cheese ,2014-01-05T00:00:00.000Z
41,,curd,curd,2014-01-01T00:00:00.000Z
42,,curd cheese,curd cheese,2014-01-16T00:00:00.000Z
43,,decalcifier,decalcifier,2014-01-31T00:00:00.000Z
44,,dental care,dental care,2014-01-19T00:00:00.000Z
45,,dessert,dessert,2014-01-02T00:00:00.000Z
46,,detergent,detergent,2014-01-08T00:00:00.000Z
47,,dish cleaner,dish cleaner,2014-01-10T00:00:00.000Z
48,,dishes,dishes,2014-01-01T00:00:00.000Z
49,,dog food,dog food,2014-01-12T00:00:00.000Z
50,,domestic eggs,domestic eggs,2014-01-01T00:00:00.000Z
51,,female sanitary products,female sanitary products,2014-02-16T00:00:00.000Z
52,,finished products,finished products,2014-01-19T00:00:00.000Z
53,,fish,fish,2014-01-23T00:00:00.000Z
54,,flour,flour,2014-01-03T00:00:00.000Z
55,,flower (seeds),flower (seeds),2014-01-01T00:00:00.000Z
56,,flower soil/fertilizer,flower soil/fertilizer,2014-07-12T00:00:00.000Z
57,,frankfurter,frankfurter,2014-01-02T00:00:00.000Z
58,,frozen chicken,frozen chicken,2014-04-20T00:00:00.000Z
59,,frozen dessert,frozen dessert,2014-01-07T00:00:00.000Z
60,,frozen fish,frozen fish,2014-01-18T00:00:00.000Z
61,,frozen fruits,frozen fruits,2014-04-20T00:00:00.000Z
62,,frozen meals,frozen meals,2014-01-05T00:00:00.000Z
63,,frozen potato products,frozen potato products,2014-01-01T00:00:00.000Z
64,,frozen vegetables,frozen vegetables,2014-01-01T00:00:00.000Z
65,,fruit/vegetable juice,fruit/vegetable juice,2014-01-02T00:00:00.000Z
66,,grapes,grapes,2014-01-02T00:00:00.000Z
67,,hair spray,hair spray,2014-04-01T00:00:00.000Z
68,,ham,ham,2014-01-04T00:00:00.000Z
69,,hamburger meat,hamburger meat,2014-01-01T00:00:00.000Z
70,,hard cheese,hard cheese,2014-01-02T00:00:00.000Z
71,,herbs,herbs,2014-01-06T00:00:00.000Z
72,,honey,honey,2014-01-03T00:00:00.000Z
73,,house keeping products,house keeping products,2014-01-16T00:00:00.000Z
74,,hygiene articles,hygiene articles,2014-01-05T00:00:00.000Z
75,,ice cream,ice cream,2014-01-03T00:00:00.000Z
76,,instant coffee,instant coffee,2014-01-03T00:00:00.000Z
77,,jam,jam,2014-01-05T00:00:00.000Z
78,,ketchup,ketchup,2014-01-17T00:00:00.000Z
79,,kitchen towels,kitchen towels,2014-01-20T00:00:00.000Z
80,,kitchen utensil,kitchen utensil,2014-08-14T00:00:00.000Z
81,,light bulbs,light bulbs,2014-01-04T00:00:00.000Z
82,,liqueur,liqueur,2014-02-14T00:00:00.000Z
83,,liquor,liquor,2014-01-04T00:00:00.000Z
84,,liquor (appetizer),liquor (appetizer),2014-01-09T00:00:00.000Z
85,,liver loaf,liver loaf,2014-01-05T00:00:00.000Z
86,,long life bakery product,long life bakery product,2014-01-02T00:00:00.000Z
87,,make up remover,make up remover,2014-01-15T00:00:00.000Z
88,,male cosmetics,male cosmetics,2014-03-28T00:00:00.000Z
89,,margarine,margarine,2014-01-02T00:00:00.000Z
90,,mayonnaise,mayonnaise,2014-01-07T00:00:00.000Z
91,,meat,meat,2014-01-05T00:00:00.000Z
92,,meat spreads,meat spreads,2014-01-03T00:00:00.000Z
93,,misc. beverages,misc. beverages,2014-01-06T00:00:00.000Z
94,,mustard,mustard,2014-01-03T00:00:00.000Z
95,,napkins,napkins,2014-01-04T00:00:00.000Z
96,,newspapers,newspapers,2014-01-02T00:00:00.000Z
97,,nut snack,nut snack,2014-01-13T00:00:00.000Z
98,,nuts/prunes,nuts/prunes,2014-01-19T00:00:00.000Z
99,,oil,oil,2014-01-03T00:00:00.000Z
100,,onions,onions,2014-01-01T00:00:00.000Z
101,,organic products,organic products,2014-04-12T00:00:00.000Z
102,,organic sausage,organic sausage,2014-01-18T00:00:00.000Z
103,,other vegetables,other vegetables,2014-01-01T00:00:00.000Z
104,,packaged fruit/vegetables,packaged fruit/vegetables,2014-01-18T00:00:00.000Z
105,,pasta,pasta,2014-01-20T00:00:00.000Z
106,,pastry,pastry,2014-01-03T00:00:00.000Z
107,,pet care,pet care,2014-01-11T00:00:00.000Z
108,,photo/film,photo/film,2014-01-06T00:00:00.000Z
109,,pickled vegetables,pickled vegetables,2014-01-07T00:00:00.000Z
110,,pip fruit,pip fruit,2014-01-05T00:00:00.000Z
111,,popcorn,popcorn,2014-01-11T00:00:00.000Z
112,,pork,pork,2014-01-13T00:00:00.000Z
113,,pot plants,pot plants,2014-01-02T00:00:00.000Z
114,,potato products,potato products,2014-01-23T00:00:00.000Z
115,,preservation products,preservation products,2014-03-01T00:00:00.000Z
116,,processed cheese,processed cheese,2014-01-03T00:00:00.000Z
117,,prosecco,prosecco,2014-01-20T00:00:00.000Z
118,,pudding powder,pudding powder,2014-03-08T00:00:00.000Z
119,,ready soups,ready soups,2014-04-11T00:00:00.000Z
120,,red/blush wine,red/blush wine,2014-01-04T00:00:00.000Z
121,,rice,rice,2014-01-07T00:00:00.000Z
122,,roll products ,roll products ,2014-01-02T00:00:00.000Z
123,,rolls/buns,rolls/buns,2014-01-02T00:00:00.000Z
124,,root vegetables,root vegetables,2014-01-02T00:00:00.000Z
125,,rubbing alcohol,rubbing alcohol,2014-03-04T00:00:00.000Z
126,,rum,rum,2014-01-06T00:00:00.000Z
127,,salad dressing,salad dressing,2014-04-03T00:00:00.000Z
128,,salt,salt,2014-01-09T00:00:00.000Z
129,,salty snack,salty snack,2014-01-02T00:00:00.000Z
130,,sauces,sauces,2014-01-02T00:00:00.000Z
131,,sausage,sausage,2014-01-01T00:00:00.000Z
132,,seasonal products,seasonal products,2014-01-09T00:00:00.000Z
133,,semi-finished bread,semi-finished bread,2014-01-02T00:00:00.000Z
134,,shopping bags,shopping bags,2014-01-01T00:00:00.000Z
135,,skin care,skin care,2014-04-13T00:00:00.000Z
136,,sliced cheese,sliced cheese,2014-01-01T00:00:00.000Z
137,,snack products,snack products,2014-01-25T00:00:00.000Z
138,,soap,soap,2014-01-02T00:00:00.000Z
139,,soda,soda,2014-01-01T00:00:00.000Z
140,,soft cheese,soft cheese,2014-01-06T00:00:00.000Z
141,,softener,softener,2014-01-12T00:00:00.000Z
142,,soups,soups,2014-01-04T00:00:00.000Z
143,,sparkling wine,sparkling wine,2014-01-11T00:00:00.000Z
144,,specialty bar,specialty bar,2014-01-07T00:00:00.000Z
145,,specialty cheese,specialty cheese,2014-01-11T00:00:00.000Z
146,,specialty chocolate,specialty chocolate,2014-01-01T00:00:00.000Z
147,,specialty fat,specialty fat,2014-02-10T00:00:00.000Z
148,,specialty vegetables,specialty vegetables,2014-02-10T00:00:00.000Z
149,,spices,spices,2014-02-22T00:00:00.000Z
150,,spread cheese,spread cheese,2014-01-06T00:00:00.000Z
151,,sugar,sugar,2014-01-05T00:00:00.000Z
152,,sweet spreads,sweet spreads,2014-01-05T00:00:00.000Z
153,,syrup,syrup,2014-01-07T00:00:00.000Z
154,,tea,tea,2014-02-04T00:00:00.000Z
155,,tidbits,tidbits,2014-01-19T00:00:00.000Z
156,,toilet cleaner,toilet cleaner,2014-03-23T00:00:00.000Z
157,,tropical fruit,tropical fruit,2014-01-01T00:00:00.000Z
158,,turkey,turkey,2014-01-09T00:00:00.000Z
159,,vinegar,vinegar,2014-01-05T00:00:00.000Z
160,,waffles,waffles,2014-01-01T00:00:00.000Z
161,,whipped/sour cream,whipped/sour cream,2014-01-01T00:00:00.000Z
162,,whisky,whisky,2014-04-05T00:00:00.000Z
163,,white bread,white bread,2014-01-02T00:00:00.000Z
164,,white wine,white wine,2014-01-09T00:00:00.000Z
165,,whole milk,whole milk,2014-01-01T00:00:00.000Z
166,,yogurt,yogurt,2014-01-01T00:00:00.000Z
167,,zwieback,zwieback,2014-01-07T00:00:00.000Z
